ATAC_peak	RT	ATAC_OCT4.ON	ATAC_OCT4.OFF
ATAC23413	ES	0.725164	0.532545
ATAC23414	ES	1.01184	0.668274
ATAC23415	ES	3.00646	1.4887
ATAC23416	ES	2.92535	1.98819
ATAC23417	ES	5.7225	5.72321
ATAC23420	ES	0.792589	0.543325
ATAC23421	ES	1.10866	0.809426
ATAC23422	ES	3.43376	2.66486
ATAC23423	ES	2.0279	1.86889
ATAC23424	ES	1.77908	1.34076
ATAC23425	ES	2.43118	2.06814
ATAC21976	ES	1.55494	0.461683
ATAC21977	ES	0.973518	0.505107
ATAC21978	ES	1.39103	1.09731
ATAC21979	ES	3.61233	3.82947
ATAC23553	ES	3.02272	2.41488
ATAC23554	ES	2.22966	2.36796
ATAC23555	ES	3.77783	3.66129
ATAC23556	ES	6.58108	5.67788
ATAC23593	ES	1.09188	1.05401
ATAC23594	ES	1.08348	1.01054
ATAC23595	ES	1.43318	1.21149
ATAC23596	ES	2.11318	2.1257
ATAC23611	ES	1.27734	1.03754
ATAC23612	ES	0.897981	1.02682
ATAC23613	ES	2.71491	3.03695
ATAC23614	ES	1.21001	1.2225
ATAC23615	ES	3.12416	2.95851
ATAC23616	ES	1.29435	0.738989
ATAC23617	ES	2.27665	2.59166
ATAC23637	ES	0.720837	0.613876
ATAC23638	ES	1.05373	0.624731
ATAC23639	ES	5.70611	5.84835
ATAC23655	ES	1.19729	0.738799
ATAC23656	ES	4.24701	2.67127
ATAC23657	ES	1.7827	1.50438
ATAC23658	ES	1.0709	1.19534
ATAC23659	ES	0.838938	1.0268
ATAC23660	ES	1.8045	1.68987
ATAC23661	ES	1.22254	0.738869
ATAC23688	ES	3.06485	3.4825
ATAC23689	ES	1.42929	0.90729
ATAC23690	ES	4.35522	3.50449
ATAC23691	ES	2.18391	2.15147
ATAC23799	ES	2.3834	2.18224
ATAC23800	ES	1.07928	0.831284
ATAC23801	ES	3.00894	2.1569
ATAC23802	ES	2.10801	1.93968
ATAC23803	ES	4.72201	3.69988
ATAC23804	ES	3.54049	3.57675
ATAC23805	ES	1.94155	0.994335
ATAC23806	ES	0.695637	0.59217
ATAC23807	ES	0.678089	0.568694
ATAC23808	ES	0.788161	0.668079
ATAC23809	ES	1.13786	1.25435
ATAC23810	ES	1.8024	1.86629
ATAC23811	ES	0.889608	0.983454
ATAC23812	ES	3.70861	4.26983
ATAC23813	ES	1.85496	2.01572
ATAC23814	ES	1.03707	1.39624
ATAC23815	ES	1.07934	1.09752
ATAC23816	ES	2.31871	2.68922
ATAC23817	ES	1.93726	2.24942
ATAC23818	ES	1.19296	1.01051
ATAC23819	ES	1.27098	1.02132
ATAC23820	ES	0.944346	1.2986
ATAC23821	ES	2.80969	2.6777
ATAC23822	ES	1.29014	1.12457
ATAC23823	ES	0.982258	0.793159
ATAC23824	ES	1.57397	2.04282
ATAC23825	ES	1.2395	0.999667
ATAC23826	ES	3.90235	4.60693
ATAC23827	ES	2.28091	2.35253
ATAC23828	ES	1.54591	1.8236
ATAC23829	ES	1.83068	1.83216
ATAC23830	ES	1.06668	1.2713
ATAC23831	ES	1.94788	2.46675
ATAC23833	ES	1.42496	1.36639
ATAC23834	ES	0.961291	1.15177
ATAC23835	ES	1.29218	1.12723
ATAC23836	ES	1.01582	0.918076
ATAC23837	ES	1.56823	1.28224
ATAC23838	ES	1.69419	1.38496
ATAC23839	ES	1.94785	2.50467
ATAC23840	ES	1.51766	1.47225
ATAC23841	ES	1.03436	1.0214
ATAC23842	ES	2.79499	3.18894
ATAC23843	ES	2.58016	2.73829
ATAC23850	ES	1.07087	0.923628
ATAC23851	ES	1.78529	2.04518
ATAC23852	ES	2.46117	2.3372
ATAC23853	ES	2.56338	3.26
ATAC23854	ES	3.05027	3.08047
ATAC23855	ES	1.06669	0.820515
