RT	Name	EdU_4h_OCT4_18h_OFF_ES	EdU_4h_OCT4_18h_OFF_MS	EdU_4h_OCT4_18h_OFF_LS	EdU_4h_OCT4_ON_ES	EdU_4h_OCT4_ON_MS	EdU_4h_OCT4_ON_LS
ES	IZ1	0.647742	NA	NA	0.674927	NA	NA
ES	IZ2	0.661413	NA	NA	0.699123	NA	NA
ES	IZ3	0.946788	NA	NA	0.900304	NA	NA
ES	IZ4	0.507463	NA	NA	0.615248	NA	NA
ES	IZ5	0.690287	NA	NA	0.881959	NA	NA
ES	IZ6	0.704977	NA	NA	0.934544	NA	NA
ES	IZ7	0.978703	NA	NA	0.756755	NA	NA
ES	IZ8	0.796643	NA	NA	0.638618	NA	NA
ES	IZ9	0.846776	NA	NA	0.693281	NA	NA
ES	IZ10	0.850581	NA	NA	0.834789	NA	NA
ES	IZ11	0.419847	NA	NA	0.566824	NA	NA
ES	IZ12	0.419075	NA	NA	0.595622	NA	NA
ES	IZ13	0.608745	NA	NA	0.672837	NA	NA
ES	IZ14	0.526457	NA	NA	0.651967	NA	NA
ES	IZ15	0.536828	NA	NA	0.597706	NA	NA
ES	IZ16	0.611022	NA	NA	0.632776	NA	NA
ES	IZ17	0.622421	NA	NA	0.696205	NA	NA
ES	IZ18	0.952599	NA	NA	0.889026	NA	NA
ES	IZ19	0.967803	NA	NA	0.96084	NA	NA
ES	IZ20	0.88828	NA	NA	0.901121	NA	NA
ES	IZ21	0.787008	NA	NA	0.868593	NA	NA
ES	IZ22	1.0301	NA	NA	1.07476	NA	NA
ES	IZ23	0.735617	NA	NA	0.836878	NA	NA
ES	IZ24	0.848545	NA	NA	0.911169	NA	NA
ES	IZ25	0.833841	NA	NA	0.846869	NA	NA
ES	IZ26	0.7189	NA	NA	0.660317	NA	NA
ES	IZ27	0.718893	NA	NA	0.592292	NA	NA
ES	IZ28	0.769301	NA	NA	0.750479	NA	NA
ES	IZ29	0.794593	NA	NA	0.789685	NA	NA
ES	IZ30	1.35624	NA	NA	1.10901	NA	NA
ES	IZ31	1.26607	NA	NA	1.02342	NA	NA
ES	IZ32	1.14759	NA	NA	1.06059	NA	NA
ES	IZ33	0.927805	NA	NA	0.83936	NA	NA
ES	IZ34	0.789043	NA	NA	0.683688	NA	NA
ES	IZ35	0.712556	NA	NA	0.635679	NA	NA
ES	IZ36	0.535814	NA	NA	0.558451	NA	NA
ES	IZ37	0.577341	NA	NA	0.514222	NA	NA
ES	IZ38	1.08455	NA	NA	0.993815	NA	NA
ES	IZ39	0.811323	NA	NA	0.704975	NA	NA
ES	IZ40	0.986567	NA	NA	1.0944	NA	NA
ES	IZ41	0.866538	NA	NA	0.694557	NA	NA
ES	IZ42	0.955652	NA	NA	0.725027	NA	NA
ES	IZ43	0.593813	NA	NA	0.576406	NA	NA
ES	IZ44	0.575074	NA	NA	0.467893	NA	NA
ES	IZ45	1.1957	NA	NA	1.07521	NA	NA
ES	IZ46	1.02452	NA	NA	1.08858	NA	NA
ES	IZ47	0.886009	NA	NA	0.962498	NA	NA
ES	IZ48	1.01262	NA	NA	1.01301	NA	NA
ES	IZ49	0.547721	NA	NA	0.54219	NA	NA
ES	IZ50	0.603676	NA	NA	0.634018	NA	NA
ES	IZ51	0.767759	NA	NA	0.631513	NA	NA
ES	IZ52	0.783967	NA	NA	1.06894	NA	NA
ES	IZ53	0.967303	NA	NA	0.840624	NA	NA
ES	IZ54	0.78852	NA	NA	0.752134	NA	NA
ES	IZ55	0.749549	NA	NA	0.7705	NA	NA
ES	IZ56	0.760671	NA	NA	0.651141	NA	NA
ES	IZ57	0.746002	NA	NA	0.76132	NA	NA
ES	IZ58	0.752565	NA	NA	0.815991	NA	NA
ES	IZ59	0.65484	NA	NA	0.654067	NA	NA
ES	IZ60	0.801703	NA	NA	0.823105	NA	NA
ES	IZ61	0.907039	NA	NA	1.05348	NA	NA
ES	IZ62	1.09494	NA	NA	1.14492	NA	NA
ES	IZ63	0.822709	NA	NA	0.962923	NA	NA
ES	IZ64	0.788533	NA	NA	0.872772	NA	NA
ES	IZ65	1.36133	NA	NA	1.27473	NA	NA
ES	IZ66	1.05543	NA	NA	0.954187	NA	NA
ES	IZ67	0.615337	NA	NA	0.589375	NA	NA
ES	IZ68	0.712045	NA	NA	0.706228	NA	NA
ES	IZ69	0.525936	NA	NA	0.461214	NA	NA
ES	IZ70	0.500877	NA	NA	0.393191	NA	NA
ES	IZ71	0.876394	NA	NA	0.86234	NA	NA
ES	IZ72	0.92073	NA	NA	0.882357	NA	NA
ES	IZ73	1.01568	NA	NA	1.0464	NA	NA
ES	IZ74	0.934126	NA	NA	0.785532	NA	NA
ES	IZ75	0.645169	NA	NA	0.732048	NA	NA
ES	IZ76	0.873107	NA	NA	0.764665	NA	NA
ES	IZ77	0.907545	NA	NA	0.967512	NA	NA
ES	IZ78	0.800923	NA	NA	0.770073	NA	NA
ES	IZ79	0.627494	NA	NA	0.707058	NA	NA
ES	IZ80	0.63812	NA	NA	0.510893	NA	NA
ES	IZ81	0.726731	NA	NA	0.658625	NA	NA
ES	IZ82	1.19521	NA	NA	1.11695	NA	NA
ES	IZ83	0.986521	NA	NA	0.981266	NA	NA
ES	IZ84	0.860465	NA	NA	0.794706	NA	NA
ES	IZ85	1.0681	NA	NA	1.0009	NA	NA
ES	IZ86	0.831077	NA	NA	0.701617	NA	NA
ES	IZ87	0.753076	NA	NA	0.71207	NA	NA
ES	IZ88	0.710298	NA	NA	0.735448	NA	NA
ES	IZ89	1.19267	NA	NA	0.992541	NA	NA
ES	IZ90	1.02256	NA	NA	0.841495	NA	NA
ES	IZ91	0.667235	NA	NA	0.63527	NA	NA
ES	IZ92	0.733059	NA	NA	0.638189	NA	NA
ES	IZ93	0.741932	NA	NA	0.516741	NA	NA
ES	IZ94	0.643436	NA	NA	0.566809	NA	NA
ES	IZ95	0.695082	NA	NA	0.670325	NA	NA
ES	IZ96	0.746494	NA	NA	0.550953	NA	NA
ES	IZ97	0.889315	NA	NA	0.768834	NA	NA
ES	IZ98	0.878671	NA	NA	0.86734	NA	NA
ES	IZ99	0.851348	NA	NA	0.801392	NA	NA
ES	IZ100	0.898427	NA	NA	0.842298	NA	NA
ES	IZ101	0.801699	NA	NA	0.638615	NA	NA
ES	IZ102	0.767253	NA	NA	0.733779	NA	NA
ES	IZ103	0.647484	NA	NA	0.692455	NA	NA
ES	IZ104	1.29523	NA	NA	1.17288	NA	NA
ES	IZ105	0.701423	NA	NA	0.941227	NA	NA
ES	IZ106	0.743455	NA	NA	0.964976	NA	NA
ES	IZ107	0.81587	NA	NA	0.800567	NA	NA
ES	IZ108	0.792336	NA	NA	0.804308	NA	NA
ES	IZ109	0.816883	NA	NA	0.734607	NA	NA
ES	IZ110	0.749018	NA	NA	0.697891	NA	NA
ES	IZ111	0.877661	NA	NA	0.826013	NA	NA
ES	IZ112	0.788783	NA	NA	0.958751	NA	NA
ES	IZ113	0.753586	NA	NA	0.730004	NA	NA
ES	IZ114	0.714088	NA	NA	0.610227	NA	NA
ES	IZ115	0.655335	NA	NA	0.611909	NA	NA
ES	IZ116	0.688262	NA	NA	0.738375	NA	NA
ES	IZ117	1.0686	NA	NA	1.00675	NA	NA
ES	IZ118	1.02251	NA	NA	0.986715	NA	NA
ES	IZ119	1.07443	NA	NA	1.0848	NA	NA
ES	IZ120	0.89235	NA	NA	0.890704	NA	NA
ES	IZ121	0.761185	NA	NA	0.654884	NA	NA
ES	IZ122	0.777386	NA	NA	0.617744	NA	NA
ES	IZ123	0.522597	NA	NA	0.50249	NA	NA
ES	IZ124	0.729782	NA	NA	0.667001	NA	NA
ES	IZ125	0.829789	NA	NA	0.695785	NA	NA
ES	IZ126	0.592806	NA	NA	0.560548	NA	NA
ES	IZ127	0.895892	NA	NA	0.666172	NA	NA
ES	IZ128	0.657879	NA	NA	0.581845	NA	NA
ES	IZ129	0.575562	NA	NA	0.509212	NA	NA
ES	IZ130	0.604946	NA	NA	0.51881	NA	NA
ES	IZ131	0.621655	NA	NA	0.474154	NA	NA
ES	IZ132	0.540371	NA	NA	0.462476	NA	NA
ES	IZ133	0.561642	NA	NA	0.454124	NA	NA
ES	IZ134	0.668506	NA	NA	0.676165	NA	NA
ES	IZ135	0.793853	NA	NA	0.615235	NA	NA
ES	IZ136	0.756629	NA	NA	0.686187	NA	NA
ES	IZ137	0.788019	NA	NA	0.778015	NA	NA
ES	IZ138	0.868314	NA	NA	0.772187	NA	NA
ES	IZ139	1.13344	NA	NA	1.00968	NA	NA
ES	IZ140	0.808273	NA	NA	0.840621	NA	NA
ES	IZ141	0.624955	NA	NA	0.606898	NA	NA
ES	IZ142	0.539365	NA	NA	0.638184	NA	NA
ES	IZ143	0.547457	NA	NA	0.605236	NA	NA
ES	IZ144	1.01009	NA	NA	0.871081	NA	NA
ES	IZ145	0.705477	NA	NA	0.755058	NA	NA
ES	IZ146	0.790052	NA	NA	0.732108	NA	NA
ES	IZ147	0.852081	NA	NA	0.854814	NA	NA
ES	IZ148	0.748514	NA	NA	0.771314	NA	NA
ES	IZ149	0.369964	NA	NA	0.510054	NA	NA
ES	IZ150	0.790044	NA	NA	0.774249	NA	NA
ES	IZ151	0.745488	NA	NA	0.771345	NA	NA
ES	IZ152	0.775608	NA	NA	0.688716	NA	NA
ES	IZ153	1.04024	NA	NA	1.00342	NA	NA
ES	IZ154	0.920458	NA	NA	0.765083	NA	NA
ES	IZ155	0.744976	NA	NA	0.682429	NA	NA
ES	IZ156	0.761683	NA	NA	0.713332	NA	NA
ES	IZ157	0.750038	NA	NA	0.630256	NA	NA
ES	IZ158	0.79511	NA	NA	0.651973	NA	NA
ES	IZ159	0.731757	NA	NA	0.692821	NA	NA
ES	IZ160	0.76575	NA	NA	0.643623	NA	NA
ES	IZ161	0.818405	NA	NA	0.673655	NA	NA
ES	IZ162	0.890332	NA	NA	0.718334	NA	NA
ES	IZ163	0.910335	NA	NA	0.812241	NA	NA
ES	IZ164	1.01922	NA	NA	0.779693	NA	NA
ES	IZ165	0.976925	NA	NA	0.759643	NA	NA
ES	IZ166	0.861211	NA	NA	0.669071	NA	NA
ES	IZ167	0.926009	NA	NA	0.645278	NA	NA
ES	IZ168	1.01846	NA	NA	0.861915	NA	NA
ES	IZ169	0.949571	NA	NA	0.63944	NA	NA
ES	IZ170	0.71863	NA	NA	0.511718	NA	NA
ES	IZ171	0.422335	NA	NA	0.326789	NA	NA
ES	IZ172	0.8217	NA	NA	0.761749	NA	NA
ES	IZ173	0.898428	NA	NA	1.0944	NA	NA
ES	IZ174	0.760427	NA	NA	0.787606	NA	NA
ES	IZ175	0.883731	NA	NA	0.638604	NA	NA
ES	IZ176	0.809533	NA	NA	0.742535	NA	NA
ES	IZ177	0.629262	NA	NA	0.618997	NA	NA
ES	IZ178	0.781934	NA	NA	0.548447	NA	NA
ES	IZ179	0.605721	NA	NA	0.563487	NA	NA
ES	IZ180	0.713063	NA	NA	0.515069	NA	NA
ES	IZ181	0.916174	NA	NA	0.89656	NA	NA
ES	IZ182	0.792076	NA	NA	0.910744	NA	NA
ES	IZ183	0.712831	NA	NA	0.784287	NA	NA
ES	IZ184	0.686735	NA	NA	0.911992	NA	NA
ES	IZ185	0.720162	NA	NA	0.842293	NA	NA
ES	IZ186	0.747747	NA	NA	0.744203	NA	NA
ES	IZ187	0.738139	NA	NA	0.843981	NA	NA
ES	IZ188	0.944257	NA	NA	0.992128	NA	NA
ES	IZ189	0.884523	NA	NA	0.948325	NA	NA
ES	IZ190	0.899433	NA	NA	1.02428	NA	NA
ES	IZ191	0.701961	NA	NA	0.649499	NA	NA
ES	IZ192	1.93898	NA	NA	1.76164	NA	NA
ES	IZ193	3.06652	NA	NA	2.74813	NA	NA
ES	IZ194	0.920716	NA	NA	0.908252	NA	NA
ES	IZ195	0.73308	NA	NA	0.594383	NA	NA
ES	IZ196	0.897921	NA	NA	0.641519	NA	NA
ES	IZ197	0.819665	NA	NA	0.768405	NA	NA
ES	IZ198	0.660339	NA	NA	0.575946	NA	NA
ES	IZ199	0.674546	NA	NA	0.529229	NA	NA
ES	IZ200	0.592036	NA	NA	0.469994	NA	NA
ES	IZ201	1.03669	NA	NA	0.852322	NA	NA
ES	IZ202	1.06926	NA	NA	0.900651	NA	NA
ES	IZ203	0.929068	NA	NA	0.920771	NA	NA
ES	IZ204	0.957677	NA	NA	0.896549	NA	NA
ES	IZ205	1.06886	NA	NA	1.07936	NA	NA
ES	IZ206	1.14709	NA	NA	1.06352	NA	NA
ES	IZ207	1.11874	NA	NA	1.13029	NA	NA
ES	IZ208	1.18533	NA	NA	1.0823	NA	NA
ES	IZ209	1.15445	NA	NA	0.982137	NA	NA
ES	IZ210	1.23069	NA	NA	1.11195	NA	NA
ES	IZ211	1.29494	NA	NA	1.31351	NA	NA
ES	IZ212	1.19926	NA	NA	1.19417	NA	NA
ES	IZ213	1.19851	NA	NA	1.04767	NA	NA
ES	IZ214	1.11237	NA	NA	0.679501	NA	NA
ES	IZ215	1.2051	NA	NA	1.02636	NA	NA
ES	IZ216	1.83653	NA	NA	1.75671	NA	NA
ES	IZ217	0.742944	NA	NA	0.88405	NA	NA
ES	IZ218	0.629699	NA	NA	0.610584	NA	NA
ES	IZ219	1.08304	NA	NA	1.02763	NA	NA
ES	IZ220	0.918704	NA	NA	0.778856	NA	NA
ES	IZ221	0.665205	NA	NA	0.630252	NA	NA
ES	IZ222	0.592536	NA	NA	0.568903	NA	NA
ES	IZ223	0.566208	NA	NA	0.53051	NA	NA
ES	IZ224	0.640644	NA	NA	0.581006	NA	NA
ES	IZ225	0.523149	NA	NA	0.515908	NA	NA
ES	IZ226	0.477331	NA	NA	0.565562	NA	NA
ES	IZ227	0.903953	NA	NA	0.855607	NA	NA
ES	IZ228	0.964545	NA	NA	0.976695	NA	NA
ES	IZ229	0.992869	NA	NA	1.07686	NA	NA
ES	IZ230	0.813363	NA	NA	0.919102	NA	NA
ES	IZ231	0.902481	NA	NA	0.919079	NA	NA
ES	IZ232	0.830571	NA	NA	0.80473	NA	NA
ES	IZ233	0.891079	NA	NA	0.796804	NA	NA
ES	IZ234	0.907039	NA	NA	0.684515	NA	NA
ES	IZ235	0.818916	NA	NA	0.776349	NA	NA
ES	IZ236	0.808285	NA	NA	0.782602	NA	NA
ES	IZ237	0.959198	NA	NA	0.806414	NA	NA
ES	IZ238	0.681163	NA	NA	0.613582	NA	NA
ES	IZ239	0.656341	NA	NA	0.545105	NA	NA
ES	IZ240	0.540888	NA	NA	0.574339	NA	NA
ES	IZ241	0.560641	NA	NA	0.5952	NA	NA
ES	IZ242	0.675842	NA	NA	0.641118	NA	NA
ES	IZ243	0.700154	NA	NA	0.767171	NA	NA
ES	IZ244	0.70193	NA	NA	0.691609	NA	NA
ES	IZ245	0.693828	NA	NA	0.665736	NA	NA
ES	IZ246	0.73284	NA	NA	0.79389	NA	NA
ES	IZ247	1.13772	NA	NA	1.07142	NA	NA
ES	IZ248	0.99111	NA	NA	1.07855	NA	NA
ES	IZ249	1.01061	NA	NA	1.15492	NA	NA
ES	IZ250	1.06885	NA	NA	0.993392	NA	NA
ES	IZ251	1.18152	NA	NA	1.152	NA	NA
ES	IZ252	1.03212	NA	NA	1.01928	NA	NA
ES	IZ253	0.716113	NA	NA	0.927871	NA	NA
ES	IZ254	0.755343	NA	NA	0.786367	NA	NA
ES	IZ255	0.62546	NA	NA	0.777174	NA	NA
ES	IZ256	0.599875	NA	NA	0.726247	NA	NA
ES	IZ257	0.656857	NA	NA	0.762984	NA	NA
ES	IZ258	0.657116	NA	NA	0.751733	NA	NA
ES	IZ259	1.33294	NA	NA	1.10942	NA	NA
ES	IZ260	0.763214	NA	NA	0.690376	NA	NA
ES	IZ261	0.602672	NA	NA	0.48377	NA	NA
ES	IZ262	0.669528	NA	NA	0.598539	NA	NA
ES	IZ263	0.56546	NA	NA	0.59857	NA	NA
ES	IZ264	0.788788	NA	NA	0.790966	NA	NA
ES	IZ265	0.944524	NA	NA	0.813932	NA	NA
ES	IZ266	0.665981	NA	NA	0.558479	NA	NA
ES	IZ267	0.505419	NA	NA	0.374403	NA	NA
ES	IZ268	0.683436	NA	NA	0.588102	NA	NA
ES	IZ269	0.56468	NA	NA	0.56346	NA	NA
ES	IZ270	0.45684	NA	NA	0.429508	NA	NA
ES	IZ271	0.613808	NA	NA	0.587686	NA	NA
ES	IZ272	0.558113	NA	NA	0.458302	NA	NA
ES	IZ273	0.570755	NA	NA	0.527564	NA	NA
ES	IZ274	0.557088	NA	NA	0.342684	NA	NA
ES	IZ275	0.628738	NA	NA	0.505455	NA	NA
ES	IZ276	0.62648	NA	NA	0.697052	NA	NA
ES	IZ277	0.629004	NA	NA	0.634855	NA	NA
ES	IZ278	0.647235	NA	NA	0.643204	NA	NA
ES	IZ279	0.626971	NA	NA	0.566402	NA	NA
ES	IZ280	0.498831	NA	NA	0.424914	NA	NA
ES	IZ281	0.547717	NA	NA	0.388187	NA	NA
ES	IZ282	0.558609	NA	NA	0.513392	NA	NA
ES	IZ283	0.58166	NA	NA	0.53844	NA	NA
ES	IZ284	0.603181	NA	NA	0.487513	NA	NA
ES	IZ285	0.472009	NA	NA	0.4099	NA	NA
ES	IZ286	0.505437	NA	NA	0.501281	NA	NA
ES	IZ287	0.740913	NA	NA	0.756716	NA	NA
ES	IZ288	0.778402	NA	NA	0.770514	NA	NA
ES	IZ289	0.775852	NA	NA	0.725422	NA	NA
ES	IZ290	0.665735	NA	NA	0.720419	NA	NA
ES	IZ291	0.69028	NA	NA	0.641957	NA	NA
ES	IZ292	0.679391	NA	NA	0.669482	NA	NA
ES	IZ293	0.710542	NA	NA	0.752137	NA	NA
ES	IZ294	0.926284	NA	NA	1.08522	NA	NA
ES	IZ295	0.550496	NA	NA	0.732942	NA	NA
ES	IZ296	0.533785	NA	NA	0.626091	NA	NA
ES	IZ297	0.529241	NA	NA	0.652814	NA	NA
ES	IZ298	0.621395	NA	NA	0.770509	NA	NA
ES	IZ299	0.702426	NA	NA	0.726275	NA	NA
ES	IZ300	0.557592	NA	NA	0.599363	NA	NA
ES	IZ301	0.567447	NA	NA	0.62148	NA	NA
ES	IZ302	0.528724	NA	NA	0.550114	NA	NA
ES	IZ303	0.532784	NA	NA	0.515067	NA	NA
ES	IZ304	0.57886	NA	NA	0.565145	NA	NA
ES	IZ305	0.556586	NA	NA	0.588535	NA	NA
ES	IZ306	0.60241	NA	NA	0.599378	NA	NA
ES	IZ307	0.681671	NA	NA	0.690361	NA	NA
ES	IZ308	0.704469	NA	NA	0.684932	NA	NA
ES	IZ309	0.6994	NA	NA	0.711239	NA	NA
ES	IZ310	0.807266	NA	NA	0.763834	NA	NA
ES	IZ311	0.832838	NA	NA	0.874435	NA	NA
ES	IZ312	0.842217	NA	NA	0.881549	NA	NA
ES	IZ313	0.961217	NA	NA	0.834368	NA	NA
ES	IZ314	0.855391	NA	NA	0.694555	NA	NA
ES	IZ315	0.891346	NA	NA	0.712484	NA	NA
ES	IZ316	0.849813	NA	NA	0.665322	NA	NA
ES	IZ317	0.783473	NA	NA	0.834786	NA	NA
ES	IZ318	0.758679	NA	NA	0.719593	NA	NA
ES	IZ319	1.01643	NA	NA	0.848135	NA	NA
ES	IZ320	1.1096	NA	NA	0.954984	NA	NA
ES	IZ321	0.817163	NA	NA	0.785528	NA	NA
ES	IZ322	0.826777	NA	NA	0.775931	NA	NA
ES	IZ323	0.620914	NA	NA	0.606048	NA	NA
ES	IZ324	0.660904	NA	NA	0.550977	NA	NA
ES	IZ325	0.855634	NA	NA	0.761317	NA	NA
ES	IZ326	0.754827	NA	NA	0.70787	NA	NA
ES	IZ327	0.764212	NA	NA	0.622749	NA	NA
ES	IZ329	0.542397	NA	NA	0.488344	NA	NA
ES	IZ330	0.548481	NA	NA	0.543451	NA	NA
ES	IZ331	0.540367	NA	NA	0.508374	NA	NA
ES	IZ332	0.54037	NA	NA	0.433678	NA	NA
ES	IZ333	0.55404	NA	NA	0.514235	NA	NA
ES	IZ334	0.593545	NA	NA	0.56807	NA	NA
ES	IZ335	0.59254	NA	NA	0.654479	NA	NA
ES	IZ336	0.574063	NA	NA	0.590615	NA	NA
ES	IZ337	0.680659	NA	NA	0.609399	NA	NA
ES	IZ338	0.620402	NA	NA	0.53385	NA	NA
ES	IZ339	0.654075	NA	NA	0.618994	NA	NA
ES	IZ340	0.574302	NA	NA	0.475	NA	NA
ES	IZ341	0.517091	NA	NA	0.544284	NA	NA
ES	IZ342	0.674075	NA	NA	0.705402	NA	NA
ES	IZ343	0.596846	NA	NA	0.635281	NA	NA
ES	IZ344	0.58494	NA	NA	0.634441	NA	NA
ES	IZ345	0.645723	NA	NA	0.712071	NA	NA
ES	IZ346	0.585439	NA	NA	0.657797	NA	NA
ES	IZ347	0.697373	NA	NA	0.673674	NA	NA
ES	IZ348	0.69534	NA	NA	0.623576	NA	NA
ES	IZ349	0.721172	NA	NA	0.723769	NA	NA
ES	IZ350	0.868805	NA	NA	0.710832	NA	NA
ES	IZ351	0.979713	NA	NA	0.764668	NA	NA
ES	IZ352	0.711814	NA	NA	0.626531	NA	NA
ES	IZ353	0.815628	NA	NA	0.803487	NA	NA
ES	IZ354	0.694591	NA	NA	0.723754	NA	NA
ES	IZ355	0.655339	NA	NA	0.673664	NA	NA
ES	IZ356	0.484654	NA	NA	0.522979	NA	NA
ES	IZ357	0.606724	NA	NA	0.519255	NA	NA
ES	IZ358	0.663948	NA	NA	0.680762	NA	NA
ES	IZ359	0.96935	NA	NA	0.856505	NA	NA
ES	IZ360	0.745241	NA	NA	0.785134	NA	NA
ES	IZ361	0.775364	NA	NA	0.760918	NA	NA
ES	IZ362	0.749546	NA	NA	0.870688	NA	NA
ES	IZ363	0.361096	NA	NA	0.394853	NA	NA
ES	IZ364	0.737883	NA	NA	0.661148	NA	NA
ES	IZ365	0.751547	NA	NA	0.59394	NA	NA
ES	IZ366	1.49451	NA	NA	1.3336	NA	NA
ES	IZ367	1.38689	NA	NA	1.52683	NA	NA
ES	IZ368	0.929844	NA	NA	0.894924	NA	NA
ES	IZ369	0.974909	NA	NA	0.848148	NA	NA
ES	IZ370	0.960215	NA	NA	0.818075	NA	NA
ES	IZ371	0.644943	NA	NA	0.623564	NA	NA
ES	IZ372	0.580638	NA	NA	0.505874	NA	NA
ES	IZ373	0.768793	NA	NA	0.660308	NA	NA
ES	IZ374	0.672809	NA	NA	0.756309	NA	NA
ES	IZ375	0.575827	NA	NA	0.550954	NA	NA
ES	IZ376	0.611527	NA	NA	0.554298	NA	NA
ES	IZ377	0.814105	NA	NA	0.772194	NA	NA
ES	IZ378	1.02987	NA	NA	0.839392	NA	NA
ES	IZ379	1.15947	NA	NA	0.848126	NA	NA
ES	IZ380	0.931609	NA	NA	0.780529	NA	NA
ES	IZ381	1.00527	NA	NA	0.815575	NA	NA
ES	IZ382	1.41297	NA	NA	1.47338	NA	NA
ES	IZ383	1.32813	NA	NA	1.46382	NA	NA
ES	IZ384	0.912865	NA	NA	0.840221	NA	NA
ES	IZ385	0.881717	NA	NA	0.871522	NA	NA
